央视频道,#genre#
CCTV-1 综合,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV-2 财经,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV-3 综艺,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-4 中文国际,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV-5 体育,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5+ 体育赛事,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv5hd8m/8000000/mnf.m3u8
CCTV-6 电影,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV-7 国防军事,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV-8 电视剧,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV-9 纪录,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV-10 科教,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV-11 戏曲,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV-12 社会与法,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13 新闻,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv13hd4m/4000000/mnf.m3u8
CCTV14 少儿,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv14sehd8m/8000000/mnf.m3u8
CCTV-15 音乐,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-16 奥林匹克,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV-17 农业农村,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cctv17hd8m/8000000/mnf.m3u8

卫视频道,#genre#
安徽卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/ahwshd8m/8000000/mnf.m3u8
北京卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/bjwshd8m/8000000/mnf.m3u8
浙江卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/zjwshd8m/8000000/mnf.m3u8
江苏卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/jswshd8m/8000000/mnf.m3u8
东方卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/dfwshd8m/8000000/mnf.m3u8
湖南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hnwshd/4000000/mnf.m3u8
辽宁卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/lnwshd8m/8000000/mnf.m3u8
吉林卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/jlwshd8m/8000000/mnf.m3u8
河北卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hbwshd8m/8000000/mnf.m3u8
河南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hnwshd8m/8000000/mnf.m3u8
天津卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/tjwshd8m/8000000/mnf.m3u8
山东卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/sdwshd/4000000/mnf.m3u8
湖北卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hbwshd/4000000/mnf.m3u8
江西卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/jxwshd/4000000/mnf.m3u8
四川卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/scwshd4m/4000000/mnf.m3u8
重庆卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/cqwshd4m/4000000/mnf.m3u8
贵州卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gzwshd8m/8000000/mnf.m3u8
东南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/dnwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hljwshd8m/8000000/mnf.m3u8
深圳卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/szwshd8m/8000000/mnf.m3u8
广东卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gdwshd8m/8000000/mnf.m3u8
广西卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gxwshd8m/8000000/mnf.m3u8
云南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/ynwshd8m/8000000/mnf.m3u8
甘肃卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/gswshd8m/8000000/mnf.m3u8
海南卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/hainwshd4m/4000000/mnf.m3u8
内蒙古卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/nmgws/1300000/mnf.m3u8
青海卫视,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/qhws/1300000/mnf.m3u8

数字频道,#genre#,#genre#
第一财经,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/dycj/1300000/mnf.m3u8
五星体育,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/wxtyhd8m/8000000/mnf.m3u8
劲爆体育,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/jbtyhd8m/8000000/mnf.m3u8
法治天地,http://ahbczp.live.ahct.lv1.vcache.cn:9090/live/program/live/fztd/1300000/mnf.m3u8
