💎内网源💎,#genre#
💎独家内网源💎,https://my5353.com/uQJjg
💎独家内网源💎,https://my5353.com/uQJjg

央视频道,#genre#
CCTV-1,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV-2,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV-3,http://27.148.240.138/PLTV/88888888/224/3221227317/1.m3u8
CCTV-4,http://27.148.240.138/PLTV/88888888/224/3221227331/1.m3u8
CCTV-5+,http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV-5,http://27.148.240.138/PLTV/88888888/224/3221227254/1.m3u8
CCTV-6,http://27.148.240.138/PLTV/88888888/224/3221227124/1.m3u8
CCTV-7,http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV-8,http://27.148.240.138/PLTV/88888888/224/3221227348/1.m3u8
CCTV-9,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV-10,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV-11,http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV-12,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV-13,http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV-14,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV-15,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV-16,http://27.148.240.138/PLTV/88888888/224/3221227352/1.m3u8
CCTV-17,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8
CCTV-4K,http://27.148.240.138/PLTV/88888888/224/3221227333/1.m3u8

卫视频道,#genre#
凤凰资讯台,http://27.148.240.138/PLTV/88888888/224/3221226929/1.m3u8
凤凰中文台,http://27.148.240.138/PLTV/88888888/224/3221226980/1.m3u8
北京卫视4K,http://27.148.240.138/PLTV/88888888/224/3221227310/1.m3u8
厦门卫视,http://27.148.240.138/PLTV/88888888/224/3221226744/1.m3u8
海峡卫视,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
东南卫视,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
江苏卫视,http://27.148.240.138/PLTV/88888888/224/3221227312/1.m3u8
湖南卫视,http://27.148.240.138/PLTV/88888888/224/3221227238/1.m3u8
浙江卫视,http://27.148.240.138/PLTV/88888888/224/3221227226/1.m3u8
东方卫视,http://27.148.240.138/PLTV/88888888/224/3221227281/1.m3u8
海南卫视,http://27.148.240.138/PLTV/88888888/224/3221226830/1.m3u8
云南卫视,http://27.148.240.138/PLTV/88888888/224/3221226900/1.m3u8
三沙卫视,http://27.148.240.138/PLTV/88888888/224/3221227072/1.m3u8
天津卫视,http://27.148.240.138/PLTV/88888888/224/3221227222/1.m3u8
广东卫视,http://27.148.240.138/PLTV/88888888/224/3221227218/1.m3u8
湖北卫视,http://27.148.240.138/PLTV/88888888/224/3221227230/1.m3u8
辽宁卫视,http://27.148.240.138/PLTV/88888888/224/3221227242/1.m3u8
甘肃卫视,http://27.148.240.138/PLTV/88888888/224/3221227246/1.m3u8
吉林卫视,http://27.148.240.138/PLTV/88888888/224/3221227273/1.m3u8
贵州卫视,http://27.148.240.138/PLTV/88888888/224/3221227277/1.m3u8
深圳卫视,http://27.148.240.138/PLTV/88888888/224/3221227285/1.m3u8
重庆卫视,http://27.148.240.138/PLTV/88888888/224/3221227293/1.m3u8
四川卫视,http://27.148.240.138/PLTV/88888888/224/3221227289/1.m3u8
安徽卫视,http://27.148.240.138/PLTV/88888888/224/3221227301/1.m3u8
山东卫视,http://27.148.240.138/PLTV/88888888/224/3221227300/1.m3u8
江西卫视,http://27.148.240.138/PLTV/88888888/224/3221227304/1.m3u8
宁夏卫视,http://27.148.240.138/PLTV/88888888/224/3221227305/1.m3u8
