央视频道,#genre#
CCTV-1,http://222.85.69.6/PLTV/88888888/224/3221227279/index.m3u8
CCTV-2,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8
CCTV-3,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8
CCTV-4,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8
CCTV-5,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8
CCTV-5+,http://222.85.69.6/PLTV/88888888/224/3221227220/index.m3u8
CCTV-6,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8
CCTV-7,http://222.85.69.6/PLTV/88888888/224/3221227084/index.m3u8
CCTV-8,http://222.85.69.6/PLTV/88888888/224/3221227081/index.m3u8
CCTV-9,http://222.85.69.6/PLTV/88888888/224/3221227078/index.m3u8
CCTV-10,http://222.85.69.6/PLTV/88888888/224/3221227043/index.m3u8
CCTV-11,http://222.85.69.6/PLTV/88888888/224/3221227040/index.m3u8
CCTV-12,http://222.85.69.6/PLTV/88888888/224/3221227044/index.m3u8
CCTV-13,http://222.85.69.6/PLTV/88888888/224/3221227041/index.m3u8
CCTV-14,http://222.85.69.6/PLTV/88888888/224/3221227038/index.m3u8
CCTV-15,http://222.85.69.6/PLTV/88888888/224/3221227037/index.m3u8
CCTV-17,http://222.85.69.6/PLTV/88888888/224/3221227072/index.m3u8
CCTV-4K,http://222.85.69.6/PLTV/88888888/224/3221227244/index.m3u8

卫视频道,#genre#
河南卫视,http://222.85.69.6/TVOD/88888888/224/3221226984/index.m3u8
江苏卫视,http://222.85.69.6/TVOD/88888888/224/3221227007/index.m3u8
浙江卫视,http://222.85.69.6/TVOD/88888888/224/3221227008/index.m3u8
东方卫视,http://222.85.69.6/PLTV/88888888/224/3221227020/index.m3u8
湖南卫视,http://222.85.69.6/PLTV/88888888/224/3221227021/index.m3u8
北京卫视,http://222.85.69.6/PLTV/88888888/224/3221227036/index.m3u8
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221227022/index.m3u8
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221227004/index.m3u8
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221227014/index.m3u8
黑龙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227039/index.m3u8
天津卫视,http://222.85.69.6/PLTV/88888888/224/3221227054/index.m3u8
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221227057/index.m3u8
河北卫视,http://222.85.69.6/TVOD/88888888/224/3221227027/index.m3u8
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221227017/index.m3u8
东南卫视,http://222.85.69.6/PLTV/88888888/224/3221227023/index.m3u8
江西卫视,http://222.85.69.6/PLTV/88888888/224/3221227024/index.m3u8
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221227027/index.m3u8
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8
四川卫视,http://222.85.69.6/PLTV/88888888/224/3221227026/index.m3u8
广东卫视,http://222.85.69.6/PLTV/88888888/224/3221227033/index.m3u8
广西卫视,http://222.85.69.6/PLTV/88888888/224/3221227045/index.m3u8
深圳卫视,http://222.85.69.6/PLTV/88888888/224/3221227029/index.m3u8
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8
宁夏卫视,http://222.85.69.6/PLTV/88888888/224/3221227019/index.m3u8
海南卫视,http://222.85.69.6/PLTV/88888888/224/3221227016/index.m3u8
贵州卫视,http://222.85.69.6/PLTV/88888888/224/3221227001/index.m3u8
西藏卫视,http://222.85.69.6/PLTV/88888888/224/3221227006/index.m3u8
新疆卫视,http://222.85.69.6/PLTV/88888888/224/3221227009/index.m3u8
浙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227008/index.m3u8
陕西卫视,http://222.85.69.6/PLTV/88888888/224/3221227011/index.m3u8
青海卫视,http://222.85.69.6/PLTV/88888888/224/3221227010/index.m3u8
甘肃卫视,http://222.85.69.6/PLTV/88888888/224/3221227013/index.m3u8
内蒙古卫视,http://222.85.69.6/PLTV/88888888/224/3221227048/index.m3u8
云南卫视,http://222.85.69.6/PLTV/88888888/224/3221227051/index.m3u8

河南地方,#genre#
河南4K测试,http://222.85.69.6/PLTV/88888888/224/3221226954/index.m3u8
河南都市,http://222.85.69.6/PLTV/88888888/224/3221226974/index.m3u8
河南乡村,http://222.85.69.6/PLTV/88888888/224/3221226986/index.m3u8
河南公共,http://222.85.69.6/PLTV/88888888/224/3221226989/index.m3u8
河南电视剧,http://222.85.69.6/PLTV/88888888/224/3221226971/index.m3u8
河南戏曲,http://222.85.69.6/PLTV/88888888/224/3221226996/index.m3u8
河南移动,http://222.85.69.6/PLTV/88888888/224/3221226990/index.m3u8
河南法治,http://222.85.69.6/PLTV/88888888/224/3221226991/index.m3u8
河南民生,http://222.85.69.6/PLTV/88888888/224/3221226994/index.m3u8
新闻综合,http://222.85.69.6/PLTV/88888888/224/3221226997/index.m3u8
周口新闻综合,http://222.85.69.6/PLTV/88888888/224/3221226959/index.m3u8
周口教育频道,http://222.85.69.6/PLTV/88888888/224/3221226969/index.m3u8
周口公共频道,http://222.85.69.6/PLTV/88888888/224/3221226972/index.m3u8

高清频道,#genre#
五星体育,https://181166.xyz/wxty1
晴彩中原,http://222.85.69.6/PLTV/88888888/224/3221226993/index.m3u8
调解剧场,http://222.85.69.6/PLTV/88888888/224/3221226998/index.m3u8
收藏天下,http://222.85.69.6/PLTV/88888888/224/3221226999/index.m3u8
中华功夫,http://222.85.69.6/PLTV/88888888/224/3221227003/index.m3u8
移动电视,http://222.85.69.6/PLTV/88888888/224/3221227216/index.m3u8
导视,http://222.85.69.6/PLTV/88888888/224/3221227087/index.m3u8
CETV1,http://222.85.69.6/PLTV/88888888/224/3221227034/index.m3u8
金鹰卡通,http://123.54.179.133/PLTV/88888888/224/3221227012/index.m3u8
动漫秀场,http://123.54.179.72/PLTV/88888888/224/3221227131/index.m3u8
嘉佳卡通,http://123.54.179.69/PLTV/88888888/224/3221226995/index.m3u8
炫动卡通,http://123.54.179.69/PLTV/88888888/224/3221227002/index.m3u8
优漫卡通,http://123.54.179.69/PLTV/88888888/224/3221227031/index.m3u8
卡酷少儿,http://123.54.179.69/PLTV/88888888/224/3221226992/index.m3u8
哈哈炫动,http://123.54.179.70/PLTV/88888888/224/3221227002/index.m3u8
国学频道,http://123.54.179.72/PLTV/88888888/224/3221227090/index.m3u8

付费频道,#genre#
茶频道,http://123.54.179.72/PLTV/88888888/224/3221227121/index.m3u8
都市剧场,http://123.54.179.72/PLTV/88888888/224/3221227127/index.m3u8
快乐垂钓,http://123.54.179.72/PLTV/88888888/224/3221227128/index.m3u8
欢笑剧场,http://123.54.179.72/PLTV/88888888/224/3221227134/index.m3u8
东方财经,http://123.54.179.72/PLTV/88888888/224/3221227141/index.m3u8
金色学堂,http://123.54.179.72/PLTV/88888888/224/3221227145/index.m3u8
生活时尚,http://123.54.179.72/PLTV/88888888/224/3221227148/index.m3u8
魅力足球,http://123.54.179.72/PLTV/88888888/224/3221227149/index.m3u8
游戏风云,http://123.54.179.72/PLTV/88888888/224/3221227152/index.m3u8
金鹰纪实,http://123.54.179.72/PLTV/88888888/224/3221227154/index.m3u8
乐游频道,http://123.54.179.72/PLTV/88888888/224/3221227155/index.m3u8
中华特产,http://123.54.179.72/PLTV/88888888/224/3221227157/index.m3u8
纪实人文,http://123.54.179.72/PLTV/88888888/224/3221227165/index.m3u8
法治天地,http://123.54.179.72/PLTV/88888888/224/3221227170/index.m3u8
东方财经,http://123.54.179.69/PLTV/88888888/224/3221227141/index.m3u8
中华特产,http://123.54.179.69/PLTV/88888888/224/3221227157/index.m3u8
乐游频道,http://123.54.179.69/PLTV/88888888/224/3221227155/index.m3u8

精彩频道,#genre#
国学频道,http://123.54.179.69/PLTV/88888888/224/3221227090/index.m3u8
快乐垂钓,http://123.54.179.69/PLTV/88888888/224/3221227128/index.m3u8
欢笑剧场,http://123.54.179.69/PLTV/88888888/224/3221227134/index.m3u8
法治天地,http://123.54.179.69/PLTV/88888888/224/3221227170/index.m3u8
游戏风云,http://123.54.179.69/PLTV/88888888/224/3221227152/index.m3u8
生活时尚,http://123.54.179.69/PLTV/88888888/224/3221227148/index.m3u8
纪实人文,http://123.54.179.69/PLTV/88888888/224/3221227165/index.m3u8
茶频道,http://123.54.179.69/PLTV/88888888/224/3221227121/index.m3u8
都市剧场,http://123.54.179.69/PLTV/88888888/224/3221227127/index.m3u8
金色学堂,http://123.54.179.69/PLTV/88888888/224/3221227145/index.m3u8
金色频道,http://123.54.179.71/PLTV/88888888/224/3221227145/index.m3u8
金鹰纪实,http://123.54.179.69/PLTV/88888888/224/3221227154/index.m3u8
魅力足球,http://123.54.179.69/PLTV/88888888/224/3221227149/index.m3u8
