央视频道,#genre#
CCTV-1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-1
CCTV-2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-2
CCTV-3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-3
CCTV-4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-4
CCTV-5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-5
CCTV-5-4K,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_YITANCQ/G_YITANCQ/1.m3u8?m3u8_level=2
CCTV-6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-6
CCTV-7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-7
CCTV-8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-8
CCTV-9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-9
CCTV-10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-10
CCTV-11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-11
CCTV-12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-12
CCTV-13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-13
CCTV-14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-14
CCTV-15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-15
CCTV-16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-16
CCTV-17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV-17

卫视频道,#genre#
江苏卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD/1.m3u8?m3u8_level=2
湖南卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HUNAN-MD/G_HUNAN-MD/1.m3u8?m3u8_level=2
浙江卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD/1.m3u8?m3u8_level=2
东方卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD/1.m3u8?m3u8_level=2
北京卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_BEIJING-MD/G_BEIJING-MD/1.m3u8?m3u8_level=2
天津卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD/1.m3u8?m3u8_level=2
辽宁卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_LIAONING-MD/G_LIAONING-MD/1.m3u8?m3u8_level=2
广西卫视,http://live.zhongping.jsinfo.net:6060/live/program/live/gxwshd8m/8000000/mnf.m3u8?m3u8_level=2
四川卫视,http://live.zhongping.jsinfo.net:6060/live/program/live/scwshd/8000000/mnf.m3u8?m3u8_level=2
安徽卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_ANHUI-MD/G_ANHUI-MD/1.m3u8?m3u8_level=2
黑龙江卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD/1.m3u8?m3u8_level=2
广东卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD/1.m3u8?m3u8_level=2
深圳卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD/1.m3u8?m3u8_level=2
湖北卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_HUBEI-MD/G_HUBEI-MD/1.m3u8?m3u8_level=2
吉林卫视,http://live.zhongping.jsinfo.net:6060/live/program/live/jlwshd8m/8000000/mnf.m3u8?m3u8_level=2
山东卫视,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD/1.m3u8?m3u8_level=2
江西卫视,http://live.zhongping.jsinfo.net:6060/live/program/live/jxws8m/8000000/mnf.m3u8?m3u8_level=2
河南卫视,http://live.zhongping.jsinfo.net:6060/live/program/live/hnwshd8m/8000000/mnf.m3u8?m3u8_level=2
