央视频道,#genre#
CCTV-1 综合,rtsp://115.153.233.154/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil
CCTV-2 财经,http://115.153.212.72/PLTV/88888888/224/3221226825/59814584.smil/index.m3u8?fmt=ts2hls
CCTV-3 综艺,http://115.153.233.154/PLTV/88888888/224/3221226987/86440886.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文国际,http://115.153.212.72/PLTV/88888888/224/3221226838/59814684.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文欧洲,http://115.153.212.72/PLTV/88888888/224/3221226964/77799053.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文美洲,http://115.153.212.72/PLTV/88888888/224/3221226962/77799052.smil/index.m3u8?fmt=ts2hls
CCTV-5 体育,rtsp://115.153.233.154/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5+ 体育赛事,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil
CCTV-6 电影,rtsp://115.153.212.72/PLTV/88888888/224/3221226843/63329570.smil
CCTV-7 国防军事,http://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-8 电视剧,rtsp://115.153.212.72/PLTV/88888888/224/3221226854/63329578.smil
CCTV-9 纪录,http://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,http://115.153.212.72/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-11 戏曲,http://115.153.212.72/PLTV/88888888/224/3221226986/85722616.smil/index.m3u8?fmt=ts2hls
CCTV-12 社会与法,http://115.153.212.72/PLTV/88888888/224/3221226829/59814709.smil/index.m3u8?fmt=ts2hls
CCTV-13 新闻,http://115.153.212.72/PLTV/88888888/224/3221227037/87447722.smil/index.m3u8?fmt=ts2hls
CCTV-14 少儿,http://115.153.212.72/PLTV/88888888/224/3221226634/51813368.smil/index.m3u8?fmt=ts2hls
CCTV-15 音乐,http://115.153.212.72/PLTV/88888888/224/3221226988/85722541.smil/index.m3u8?fmt=ts2hls
