央视频道,#genre#
CCTV-1 综合,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8
CCTV-2 财经,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8
CCTV-3 综艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8
CCTV-4 国际,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8
CCTV-5 体育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8
CCTV-5+ 体育赛事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8
CCTV-6 电影,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8
CCTV-7 国防军事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8
CCTV-8 电视剧,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8
CCTV-9 纪录,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8
CCTV-10 科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8
CCTV-11 戏曲,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8
CCTV-12 社会与法,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8
CCTV-13 新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8
CCTV-14 少儿,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8
CCTV-15 音乐,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8
CCTV-17 农村农业,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8

卫视频道,#genre#
湖南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227369/index.m3u8
浙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227351/index.m3u8
东方卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227401/index.m3u8
深圳卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8
广东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227361/index.m3u8
北京卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227397/index.m3u8
天津卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227343/index.m3u8
重庆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227359/index.m3u8
辽宁卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227345/index.m3u8
安徽卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227363/index.m3u8
湖北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227367/index.m3u8
河北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227399/index.m3u8
河南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227923/index.m3u8
东南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227353/index.m3u8
江苏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8
江西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227355/index.m3u8
吉林卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227935/index.m3u8
山东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227365/index.m3u8
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8
黑龙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227347/index.m3u8
甘肃卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227937/index.m3u8
贵州卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227357/index.m3u8
云南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227133/index.m3u8
广西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227939/index.m3u8
新疆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227117/index.m3u8
西藏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227131/index.m3u8
内蒙古卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227181/index.m3u8
宁夏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227119/index.m3u8
青海卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227123/index.m3u8
陕西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227127/index.m3u8
海南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227139/index.m3u8

超清频道,#genre#
CCTV-4K,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
欢笑剧场4K,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227970/index.m3u8
北京卫视4K-25P,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
深圳卫视4K-25P,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
广东卫视4K-25P,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
四川卫视4K-50P,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
湖南卫视4K-50P,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227988/index.m3u8
